ID,X,Y
4908,187110.2656,-435964.5313
4185,180211.0469,-438304.875
4189,175956.375,-437799.9063
4944,171651.3125,-432700.4688
4975,180429.4063,-432165.4688
4959,190357.7656,-432728.4688
5020,208261.875,-435809.1875
5019,206950.0625,-438812.75
4989,171250.6875,-425098.25
5040,196169.8125,-433477.2813
5053,206438.1406,-431757.75
5036,196006.4063,-440817.125
4818,176101.1094,-447034.8125
4823,181098.1563,-450288.125
4906,183313.9531,-427069.8125
5078,193656.9531,-441369.1875
5070,189982.1406,-439405.5625
